gamma,Load
0.00044573,-0.3
0.000401878,-0.66
0.000424155,-1.31
0.000272842,-2.14
0.000129257,-3.39
-0.000240563,-4.74
-0.000446822,-6.22
-0.000737991,-7.76
-0.001096823,-9.37
-0.00138633,-10.94
-0.001757943,-13.47
-0.001847076,-13.88
-0.001949497,-14.33
-0.002016652,-14.91
-0.002112878,-15.24
-0.00217837,-15.77
-0.002284052,-16.28
-0.002387304,-16.77
-0.002463084,-17.18
-0.002568701,-17.46
-0.002616813,-17.84
-0.00267285,-18.12
-0.002775401,-18.66
-0.002831567,-19.32
-0.00297571,-19.72
-0.003035708,-20.18
-0.003086951,-20.3
-0.002807536,-17.04
-0.002533681,-14.54
-0.002251202,-11.85
-0.001945081,-9.52
-0.001659341,-7.24
-0.001357117,-5.46
-0.00108786,-3.65
-0.000809978,-2.09
-0.000635726,-0.82
-0.000452017,-0.02
-0.000510158,0
-0.000382095,0.42
-0.000312368,0.66
-0.000273374,0.94
-8.90E-05,1.82
0.000164381,3.22
0.000556945,4.78
0.000877887,6.4
0.001194932,7.89
0.001546606,9.76
0.00187464,11.56
0.002271361,13.9
0.002307783,14.27
0.002458252,14.93
0.002574091,15.5
0.002660925,16.11
0.002774401,16.56
0.002863534,17.23
0.002946406,17.95
0.003055218,18.5
0.003134193,19.2
0.00323125,19.81
0.003389577,20.53
0.003458265,21.06
0.00355679,21.69
0.003662406,22.1
0.003358715,18.96
0.003069013,16.31
0.002801483,13.66
0.002443548,11.18
0.002123373,8.84
0.001808692,6.56
0.0014091,4.48
0.001079469,2.55
0.000786701,0.94
0.000544216,0.11
0.000587912,-0.02
0.000484322,-0.3
0.000447497,-0.59
0.000345504,-1.28
0.00028613,-2.02
0.000126062,-3.12
-0.000142299,-4.29
-0.000424843,-5.61
-0.000726937,-6.87
-0.000961435,-8.31
-0.001246343,-9.95
-0.001738394,-12.25
-0.0017913,-12.51
-0.00193078,-13.2
-0.002008092,-13.62
-0.002072883,-14.22
-0.002201374,-14.87
-0.00231798,-15.35
-0.002366352,-16.08
-0.002493947,-16.6
-0.002598031,-17.23
-0.002687164,-17.84
-0.002788052,-18.23
-0.002895968,-18.73
-0.002947406,-19.43
-0.003085418,-20.3
-0.002826514,-17.02
-0.002550996,-14.44
-0.00227088,-11.9
-0.001948978,-9.35
-0.001647585,-7.26
-0.001388616,-5.31
-0.001037448,-3.4
-0.000804354,-1.82
-0.000622308,-0.69
-0.00053463,0.02
-0.000460045,0.42
-0.000373574,0.7
-0.000295287,0.97
-0.000105318,1.93
0.000202141,3.26
0.000523978,4.83
0.00088268,6.39
0.001179279,7.97
0.001530889,9.58
0.001814836,11.13
0.002250851,13.42
0.002226509,13.45
0.002373847,13.91
0.002436976,14.49
0.00254732,14.91
0.002590003,15.44
0.002652365,15.96
0.002759645,16.66
0.00288494,17.25
0.002986023,17.99
0.003090874,18.74
0.003227223,19.34
0.003299171,20.29
0.003462928,20.88
0.003523056,21.59
0.003614423,21.91
0.003328683,18.54
0.003050801,15.65
0.002714013,13.22
0.002423804,10.75
0.00208395,8.44
0.001737069,6.25
0.001390188,4.33
0.001084262,2.47
0.000766386,1.04
0.000550672,0.11
0.000563635,0
0.000494674,-0.29
0.000449225,-0.55
0.000398215,-1.23
0.000316668,-2.06
0.000161393,-3.02
-8.97E-05,-4.16
-0.000369833,-5.43
-0.000669628,-6.83
-0.000959967,-8.27
-0.001240784,-9.67
-0.001705297,-11.88
-0.001686449,-11.88
-0.001770088,-12.36
-0.001931676,-13.01
-0.00197206,-13.53
-0.002087068,-14
-0.002200673,-14.82
-0.002311849,-15.37
-0.002397787,-15.89
-0.002524745,-16.63
-0.002654768,-17.3
-0.00274863,-17.89
-0.002838464,-18.25
-0.002885174,-19.05
-0.003074169,-19.73
-0.003116852,-20.21
-0.002840439,-16.51
-0.002588562,-13.85
-0.00221248,-11.29
-0.00191818,-9.01
-0.001667134,-6.94
-0.001352389,-5.11
-0.001078404,-3.44
-0.00081081,-1.83
-0.000651443,-0.65
-0.000541787,0.01
-0.000424389,0.51
-0.000393435,0.85
-0.000209337,1.62
0.000232237,3.54
0.000628959,5.42
0.00107526,7.56
0.001539709,9.67
0.001985881,11.84
0.002356792,14.5
0.002828267,17.17
0.003290546,20.41
0.003589315,22.2
0.00381633,23.1
0.004006482,24.16
0.004206024,25.03
0.004481789,25.99
0.004684462,26.86
0.004880043,27.63
0.005033772,28.13
0.00465334,23.28
0.004223456,19.79
0.003810251,16.48
0.003430013,13.42
0.002908191,10.33
0.002456395,7.52
0.002025875,5.01
0.001583535,2.56
0.001221378,0.76
0.001012366,-0.02
0.000906723,-0.37
0.000889188,-0.79
0.000771023,-1.78
0.000505975,-2.96
0.00017902,-4.36
-0.000266581,-5.82
-0.000602668,-7.25
-0.000969683,-8.99
-0.001377458,-10.97
-0.001835516,-13.04
-0.002269296,-15.44
-0.002735147,-18.08
-0.003115255,-20.27
-0.003143494,-19.96
-0.003301379,-21.3
-0.003538682,-22.21
-0.003688645,-23.15
-0.003863845,-24.17
-0.00410172,-24.75
-0.004258774,-25.56
-0.004505533,-26.46
-0.004094433,-22.08
-0.003703011,-18.42
-0.003235627,-15.45
-0.002859988,-12.23
-0.00244512,-9.33
-0.002044372,-6.78
-0.001701764,-4.61
-0.001340309,-2.58
-0.001078651,-1.01
-0.000924454,0.01
-0.000776323,0.42
-0.00076345,0.71
-0.000600629,1.09
-0.000216169,2.66
0.000208921,4.28
0.000652794,5.78
0.001146247,7.4
0.001520224,9.18
0.001976684,11.1
0.002388356,13.12
0.002779518,15.38
0.00324876,17.92
0.003610592,19.82
0.003594809,19.55
0.003807004,20.92
0.00407804,21.95
0.004268828,23.08
0.004435274,24.11
0.004658327,25.31
0.004823241,26.39
0.005034604,27.7
0.004649573,23.38
0.004340893,20.05
0.003874977,16.82
0.003464838,13.67
0.00304997,10.57
0.002587185,7.59
0.002113345,4.98
0.001715857,2.69
0.001291534,0.78
0.001078495,-0.04
0.000994064,-0.36
0.000967007,-0.75
0.000781181,-1.64
0.000563284,-2.75
0.00023716,-4.04
-0.000154132,-5.35
-0.000643818,-6.84
-0.001004442,-8.41
-0.001402826,-10.14
-0.001844465,-12.22
-0.002291534,-14.35
-0.002690749,-16.84
-0.003086379,-18.75
-0.003170966,-18.14
-0.003259723,-19.33
-0.003463162,-20.5
-0.003708324,-21.62
-0.003892149,-22.78
-0.003990739,-23.5
-0.004172135,-24.78
-0.004344011,-25.63
-0.004467072,-26.28
-0.004085873,-22.08
-0.003689021,-18.47
-0.003348778,-15.17
-0.00289941,-12.14
-0.002503325,-9.34
-0.002012872,-6.66
-0.001731665,-4.33
-0.001359988,-2.5
-0.001100564,-0.82
-0.00094273,0.01
-0.000853441,0.44
-0.000808238,0.78
-0.000577625,1.22
-0.000200322,2.9
0.000219144,4.37
0.000677967,5.66
0.00107552,7.15
0.001606032,9.03
0.00203259,10.9
0.002489946,13
0.002924428,15.25
0.003370795,17.77
0.003619216,19.19
0.0038132,20.15
0.004014275,21.15
0.004249851,22.37
0.004401216,23.17
0.004581846,24.33
0.004729509,25.71
0.005029109,27.45
0.004695958,23
0.00432428,19.38
0.003907113,16.23
0.003504962,13.37
0.003075975,10.34
0.002622581,7.36
0.002107084,4.79
0.001700972,2.44
0.001296327,0.81
0.001092679,-0.04
0.001051633,-0.35
0.000978191,-0.72
0.000825332,-1.56
0.000613566,-2.76
0.000207258,-4.04
-0.000164614,-5.49
-0.000655067,-6.9
-0.001067636,-8.42
-0.001510742,-10.03
-0.00192874,-12.09
-0.002354662,-14.38
-0.002779687,-16.65
-0.003068168,-18.03
-0.003200881,-19.1
-0.003493064,-20.04
-0.003653314,-21.36
-0.003924285,-22.32
-0.004042813,-23.47
-0.004229704,-24.6
-0.004463175,-26.28
-0.004151235,-21.8
-0.003740135,-18.3
-0.003359065,-14.94
-0.002971735,-12.04
-0.002584405,-9.04
-0.002112033,-6.36
-0.001763165,-4.22
-0.001377367,-2.34
-0.001086444,-0.7
-0.000934936,0.05
-0.000890175,0.51
-0.00069853,0.92
-0.000471683,1.78
-7.87E-06,3.6
0.000559764,5.29
0.001056673,7.04
0.00167146,8.98
0.002202998,11.29
0.002689619,13.97
0.003276167,16.85
0.00378726,19.84
0.004339815,22.86
0.00504406,27.49
0.005226989,28.3
0.005452472,29.26
0.0056669,30.08
0.005855389,30.81
0.006099784,31.61
0.006286675,32.1
0.006537396,32.92
0.006704739,33.75
0.006939677,34.4
0.007172954,34.95
0.007330008,35.53
0.007594848,36.23
0.007761359,36.8
0.007933105,36.99
0.007378627,30.82
0.006873795,26.15
0.006269036,21.71
0.005672902,17.59
0.00516577,13.9
0.004605162,10.54
0.004076754,7.25
0.003485543,4.36
0.00293126,1.86
0.002511976,0.13
0.002431208,-0.03
0.0022057,-0.42
0.002203427,-0.8
0.002047112,-1.61
0.001708518,-2.76
0.001248474,-3.83
0.000702556,-4.81
0.000161692,-5.88
-0.000350233,-7.17
-0.000867586,-8.84
-0.001415608,-10.78
-0.002003754,-13.23
-0.002554906,-15.72
-0.003115515,-18.55
-0.003573767,-21.2
-0.004062557,-23.85
-0.004421583,-26.25
-0.004621827,-26.82
-0.004830696,-27.53
-0.005035799,-28.45
-0.005194386,-29.29
-0.005349206,-30.09
-0.005638324,-30.83
-0.005802665,-31.76
-0.00606431,-32.45
-0.006260593,-32.87
-0.006455472,-33.69
-0.006619619,-34.37
-0.006801081,-35.02
-0.007088665,-35.57
-0.007153521,-35.88
-0.006748357,-30.2
-0.006267932,-25.99
-0.005733198,-21.72
-0.005168498,-17.72
-0.004626036,-14.27
-0.004154171,-10.64
-0.003627296,-7.23
-0.003078378,-4.67
-0.002684267,-2.39
-0.002233484,-0.66
-0.002094757,0
-0.001953329,0.4
-0.001873172,0.66
-0.001805601,1.12
-0.001335139,2.33
-0.000781623,3.3
-0.000176162,4.07
0.000365599,4.98
0.000963071,6.09
0.001518951,7.42
0.002043268,9.1
0.002613397,11
0.003159691,13.09
0.003748539,15.38
0.004254072,18.03
0.005077027,21.41
0.005246603,22.04
0.005451511,23.03
0.005655145,23.96
0.005809706,24.95
0.00602733,25.97
0.006222976,27.06
0.006407503,28.03
0.006636817,29.14
0.006807225,30.11
0.007016159,31.03
0.007210908,32.02
0.007399397,33.19
0.007613826,34.03
0.007834074,35.45
0.007416452,29.67
0.006834437,24.88
0.006275427,20.54
0.005723443,16.81
0.005226535,13.13
0.004665095,9.7
0.004106786,6.57
0.003604448,3.92
0.003002182,1.54
0.002582703,0.07
0.002555672,0
0.002462032,-0.34
0.002355935,-0.65
0.002114709,-1.35
0.00188946,-2.31
0.00133901,-3.02
0.000871171,-3.58
0.000307303,-4.35
-0.000213117,-5.23
-0.000774686,-6.36
-0.0013935,-7.76
-0.001844725,-9.28
-0.002368275,-11.16
-0.003009261,-13.61
-0.003596511,-15.94
-0.004091757,-18.47
-0.004497168,-20.51
-0.004638311,-21.12
-0.004849609,-22.25
-0.005022381,-22.99
-0.005159626,-23.87
-0.005393032,-25.02
-0.005587782,-26.12
-0.005750136,-26.61
-0.005860039,-27.84
-0.006134973,-28.81
-0.006233952,-30.07
-0.006487738,-31.21
-0.006694243,-32.14
-0.006852194,-33.24
-0.007039085,-34.34
-0.007169239,-34.8
-0.006742096,-29.4
-0.006312849,-25.14
-0.00568202,-20.76
-0.005261333,-16.93
-0.00470379,-13.27
-0.004091939,-9.65
-0.003606721,-6.37
-0.003098628,-3.75
-0.002617242,-1.72
-0.002319539,-0.16
-0.002256852,0.01
-0.002109864,0.39
-0.001999805,0.68
-0.001826241,1.08
-0.001450147,2.11
-0.00090762,2.85
-0.000368223,3.43
0.000190658,4.07
0.000683475,4.9
0.001299925,6.03
0.001885706,7.5
0.002445419,9.05
0.003009028,10.87
0.003506767,13.03
0.004079131,15.47
0.004661653,17.87
0.005067636,19.9
0.005043164,19.07
0.005237978,20.43
0.005496493,21.56
0.005680448,22.6
0.00594286,23.57
0.006115566,24.46
0.006247448,25.56
0.006466604,26.56
0.006687294,27.57
0.006840387,28.72
0.007046957,29.85
0.007262281,31.08
0.007544437,32.34
0.007671525,33.25
0.007874068,34.35
0.007372366,28.85
0.006877056,24.49
0.006336892,20.27
0.005770725,16.32
0.005260398,12.81
0.004754098,9.43
0.004195087,6.44
0.003608474,3.44
0.003044606,1.32
0.002632414,0.11
0.002610176,-0.01
0.002456797,-0.32
0.002454199,-0.66
0.002239745,-1.31
0.001874575,-2.22
0.001382264,-2.84
0.000851428,-3.38
0.000310433,-4.04
-0.000202258,-4.84
-0.000726704,-5.83
-0.001308589,-7.07
-0.001856545,-8.61
-0.002460473,-10.52
-0.00295898,-12.6
-0.003540098,-15.11
-0.00410537,-17.63
-0.004491479,-19.08
-0.004570779,-20.13
-0.004911841,-21.15
-0.005052412,-22.16
-0.005321084,-23.01
-0.005434183,-24.27
-0.005678448,-25.12
-0.005854285,-26.24
-0.006016834,-27.39
-0.006222703,-28.68
-0.006399501,-29.87
-0.006624152,-31.02
-0.006801782,-32.43
-0.007013977,-33.69
-0.007137804,-34.4
-0.006757112,-28.82
-0.006234133,-24.2
-0.00574885,-20.18
-0.005271556,-16.45
-0.004737783,-13.08
-0.004192892,-9.73
-0.003702115,-6.59
-0.003261047,-4.1
-0.002726885,-1.87
-0.002424584,-0.29
-0.002334996,0
-0.002136817,0.46
-0.001932247,0.94
-0.001502858,2.15
-0.00066642,2.98
0.000104785,3.84
0.000944354,5.02
0.001773699,6.69
0.002555127,8.94
0.003401722,11.69
0.004153249,15.07
0.005046996,18.67
0.00576862,22.38
0.006526278,25.89
0.007193594,30.23
0.007906399,34.68
0.008077508,34.85
0.008236861,35.57
0.008405671,35.93
0.008520237,36.16
0.00864426,36.9
0.008829553,37.77
0.009018874,38.44
0.009205765,38.98
0.009369015,39.46
0.009567727,39.93
0.009739667,40.43
0.009932884,40.97
0.010124503,41.36
0.010342894,41.74
0.010532214,42.14
0.009821448,34.1
0.009073117,28.1
0.008345998,22.52
0.007600668,17.23
0.006832788,12.79
0.006179461,8.26
0.005478217,4.73
0.004828086,2.02
0.004211558,0.11
0.004157886,-0.03
0.003928143,-0.69
0.003651443,-1.58
0.003103149,-2.39
0.002433339,-3.07
0.001684176,-3.6
0.000870483,-4.32
0.000171733,-5.12
-0.000622918,-6.14
-0.001383901,-7.61
-0.002061375,-9.62
-0.002871236,-12.23
-0.003659691,-15.07
-0.004407957,-18.09
-0.005026654,-21.81
-0.005747318,-24.92
-0.006363261,-27.97
-0.007273569,-32.55
-0.007498285,-32.98
-0.007689203,-33.83
-0.0078706,-34.53
-0.008034682,-35.29
-0.008253903,-35.95
-0.008485712,-36.71
-0.008660146,-37.29
-0.008890227,-37.53
-0.009051243,-38.1
-0.009011132,-38.01
-0.009227288,-38.84
-0.009411049,-39.43
-0.009518393,-39.54
-0.009782662,-40.19
-0.009079625,-32.32
-0.008385408,-26.57
-0.007721923,-21.34
